Loop_Date,Ativo,Entradas,Acuracia,Lucro_medio,Lucro_Max,Drowndown_max,Saldo,Rastreador,Gatilho,Ultimos3,Am1,Am2,Amanha,Operou_Dia,Close_D0,Gatilho_Dia,PNL
2024-02-13,UBER,41,0.73,1.13,3.0,-4.39,63992.0,UBER_Up_0.5_high_Afastado_-0.5_Buy_Pavio,71.02,1.0,0.73,0.73,1,False,68.99,71.02,-2.030000000000001
2024-02-13,KKR,32,0.75,1.32,3.75,-2.68,62910.0,KKR_Up_0.5_close_Afastado_-0.5_Buy_Pavio,97.13,0.75,0.75,0.75,1,False,95.88,97.13,-1.25
2024-02-13,PYPL,17,0.88,1.87,4.3,-3.35,62441.0,PYPL_Down_0.5_opendia_Afastado_0.5_Buy_GAP,opendia_0.005,0.75,0.88,0.88,1,True,58.26,58.169399999999996,0.09060000000000201
2024-02-13,CBRE,35,0.71,1.27,4.85,-1.7,62174.0,CBRE_Up_0.5_opendia_Afastado_-0.5_Buy_GAP,opendia_-0.005,0.75,0.71,0.71,1,True,85.14,85.1123,0.02769999999999584
2024-02-13,LEN,28,0.75,1.24,3.33,-2.57,61269.0,LEN_Up_0.5_opendia_Afastado_-0.5_Buy_GAP,opendia_-0.005,1.0,0.75,0.75,1,True,151.68,150.9017,0.7783000000000015
2024-02-13,MTB,26,0.73,1.46,5.19,-2.75,61256.0,MTB_Down_0.5_opendia_Afastado_0_Buy_GAP,opendia_0.0,0.75,0.73,0.73,1,True,132.73,134.48,-1.75
2024-02-13,CRWD,27,0.78,1.37,2.68,-2.5,60736.0,CRWD_Up_0.5_close_Afastado_-1_Buy_GAP,318.08,0.75,0.78,0.78,1,True,322.44,318.08,4.360000000000014
2024-02-13,BLK,35,0.74,0.84,3.42,-2.0,60718.0,BLK_Up_0.5_opendia_Afastado_0_Buy_Movimento,opendia_0.0,0.75,0.74,0.74,1,True,778.07,785.25,-7.17999999999995
2024-02-13,FITB,14,0.86,1.88,5.18,-2.3,60630.0,FITB_Up_1_opendia_Afastado_0.5_Buy_Corpo,opendia_0.005,0.75,0.86,0.86,1,False,32.82,33.476549999999996,-0.6565499999999957
2024-02-13,PCAR,29,0.79,0.99,4.33,-1.21,60384.0,PCAR_Down_0.5_high_Afastado_-1_Buy_GAP,105.35,1.0,0.79,0.79,1,True,105.19,105.35,-0.1599999999999966
2024-02-13,DHI,32,0.75,1.14,4.45,-4.71,60226.0,DHI_Up_0.5_opendia_Afastado_0_Buy_Movimento,opendia_0.0,0.75,0.75,0.75,1,True,142.37,141.91,0.46000000000000796
2024-02-13,PNC,32,0.75,1.17,3.4,-2.52,60056.0,PNC_Up_0.5_opendia_Afastado_-0.5_Buy_GAP,opendia_-0.005,0.75,0.75,0.75,1,True,145.26,146.0461,-0.7861000000000047
